SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Duration	Distance	Velocity	Validity	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	Saccade Target AOI	Saccade Target AOI group	
S0602	0	0	1	174	10	92,05297	9,205297	0						KF_001.jpg		0	fkf01	nowhere	
S0602	0	0	2	370	2	31,1671	15,58355	0						KF_001.jpg		0	fkf01	nowhere	
S0602	0	0	3	604	38	901,5121	23,724	0						KF_001.jpg		0	lkf1	nowhere	
S0602	0	0	4	894	16	89,85274	5,615796	0						KF_001.jpg		0	lkf1	nowhere	
S0602	0	0	5	1352	2	54,05368	27,02684	0						KF_001.jpg		0	lkf1	nowhere	
S0602	0	0	6	1646	2	54,7371	27,36855	0						KF_001.jpg		0	lkf1	nowhere	
S0602	0	0	7	1978	8	66,94073	8,367592	0						KF_001.jpg		0	lkf1	nowhere	
S0602	0	0	8	2360	40	830,6689	20,76672	0						KF_001.jpg		0	nowhere	nowhere	
S0602	0	0	9	2604	18	305,2816	16,96009	0						KF_001.jpg		0	fkf01	nowhere	
S0602	0	0	10	2832	8	74,08185	9,260231	0						KF_001.jpg		0	fkf01	nowhere	
S0602	0	0	11	3026	28	364,4936	13,01763	0						KF_001.jpg		0	nowhere	nowhere	
S0602	0	0	12	3288	26	373,3447	14,35941	0						KF_001.jpg		0	nowhere	nowhere	
S0602	0	0	13	3700	20	286,0025	14,30012	0						KF_001.jpg		0	nowhere	nowhere	
S0602	0	0	14	3854	16	268,9492	16,80932	0						KF_001.jpg		0	fkf01	nowhere	
S0602	1	1	1	190	36	602,8447	16,74569	0						KF_002.jpg		0	nowhere	nowhere	
S0602	1	1	2	340	16	121,5273	7,595453	0						KF_002.jpg		0	fkf2	nowhere	
S0602	1	1	3	556	2	42,98116	21,49058	0						KF_002.jpg		0	fkf2	nowhere	
S0602	1	1	4	924	50	1375,132	27,50265	0						KF_002.jpg		0	lkf2	nowhere	
S0602	1	1	5	1468	10	88,08808	8,808808	0						KF_002.jpg		0	lkf2	nowhere	
S0602	1	1	6	1762	2	24,72039	12,3602	0						KF_002.jpg		0	lkf2	nowhere	
S0602	1	1	7	2000	52	1325,927	25,49859	0						KF_002.jpg		0	fkf2	nowhere	
S0602	1	1	8	2228	2	62,57147	31,28573	0						KF_002.jpg		0	fkf2	nowhere	
S0602	1	1	9	2586	16	209,1853	13,07408	0						KF_002.jpg		0	nowhere	nowhere	
S0602	1	1	10	2908	20	112,3053	5,615266	0						KF_002.jpg		0	nowhere	nowhere	
S0602	1	1	11	3104	16	152,3828	9,523924	0						KF_002.jpg		0	nowhere	nowhere	
