SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Duration	Distance	Velocity	Validity	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	Saccade Target AOI	Saccade Target AOI group	
S1002	0	0	1	198	184	707,7789	3,846625	0						KF_001.jpg		0	lkf1	nowhere	
S1002	0	0	2	558	8	61,47044	7,683805	0						KF_001.jpg		0	lkf1	nowhere	
S1002	0	0	3	1054	36	771,1915	21,42199	0						KF_001.jpg		0	nowhere	nowhere	
S1002	0	0	4	1290	24	353,6182	14,73409	0						KF_001.jpg		0	nowhere	nowhere	
S1002	0	0	5	1570	8	78,73645	9,842056	0						KF_001.jpg		0	nowhere	nowhere	
S1002	0	0	6	1824	36	624,647	17,35131	0						KF_001.jpg		0	nowhere	nowhere	
S1002	0	0	7	2166	40	602,1807	15,05452	0						KF_001.jpg		0	fkf01	nowhere	
S1002	0	0	8	2512	2	42,74565	21,37282	0						KF_001.jpg		0	fkf01	nowhere	
S1002	0	0	9	2840	2	22,59349	11,29675	0						KF_001.jpg		0	fkf01	nowhere	
S1002	0	0	10	3010	42	912,1548	21,71797	0						KF_001.jpg		0	lkf1	nowhere	
S1002	0	0	11	3298	10	64,14716	6,414716	0						KF_001.jpg		0	lkf1	nowhere	
S1002	0	0	12	3766	36	684,066	19,00183	0						KF_001.jpg		0	nowhere	nowhere	
S1002	1	1	1	208	48	628,5715	13,09524	0						KF_002.jpg		0	nowhere	nowhere	
S1002	1	1	2	376	10	97,85514	9,785514	0						KF_002.jpg		0	nowhere	nowhere	
S1002	1	1	3	532	62	1315,657	21,22027	0						KF_002.jpg		0	fkf2	nowhere	
S1002	1	1	4	852	2	33,05998	16,52999	0						KF_002.jpg		0	nowhere	nowhere	
S1002	1	1	5	1414	54	1366,388	25,30349	0						KF_002.jpg		0	lkf2	nowhere	
S1002	1	1	6	1626	8	76,44917	9,556147	0						KF_002.jpg		0	nowhere	nowhere	
S1002	1	1	7	2810	64	1379,26	21,55093	0						KF_002.jpg		0	nowhere	nowhere	
S1002	1	1	8	3024	2	52,33402	26,16701	0						KF_002.jpg		0	nowhere	nowhere	
S1002	2	2	1	234	42	621,8043	14,80486	0						KF_003.jpg		0	nowhere	nowhere	
S1002	2	2	2	460	16	226,9446	14,18404	0						KF_003.jpg		0	lkf3	nowhere	
S1002	2	2	3	646	18	203,6461	11,31367	0						KF_003.jpg		0	lkf3	nowhere	
S1002	2	2	4	1008	46	951,0275	20,67451	0						KF_003.jpg		0	fkf3	nowhere	
S1002	2	2	5	1510	46	919,4706	19,98849	0						KF_003.jpg		0	lkf3	nowhere	
S1002	2	2	6	1810	218	899,6714	4,126933	0						KF_003.jpg		0	fkf3	nowhere	
S1002	2	2	7	2444	44	863,6007	19,62729	0						KF_003.jpg		0	lkf3	nowhere	
S1002	2	2	8	2782	14	126,1577	9,011265	0						KF_003.jpg		0	lkf3	nowhere	
S1002	2	2	9	3180	14	186,439	13,31707	0						KF_003.jpg		0	lkf3	nowhere	
S1002	2	2	10	3360	16	180,4312	11,27695	0						KF_003.jpg		0	lkf3	nowhere	
