SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Duration	Distance	Velocity	Validity	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	Saccade Target AOI	Saccade Target AOI group	
S0702	0	0	1	172	56	299,436	5,347072	0						KF_001.jpg		0	fkf01	nowhere	
S0702	0	0	2	376	56	65,64945	1,172312	0						KF_001.jpg		0	fkf01	nowhere	
S0702	0	0	3	632	44	827,499	18,8068	0						KF_001.jpg		0	nowhere	nowhere	
S0702	0	0	4	942	18	312,1014	17,33897	0						KF_001.jpg		0	nowhere	nowhere	
S0702	0	0	5	1286	16	160,7297	10,0456	0						KF_001.jpg		0	nowhere	nowhere	
S0702	0	0	6	1434	62	499,522	8,056807	0						KF_001.jpg		0	nowhere	nowhere	
S0702	0	0	7	1706	54	622,2375	11,52292	0						KF_001.jpg		0	nowhere	nowhere	
S0702	0	0	8	1962	70	1057,813	15,11161	0						KF_001.jpg		0	lkf1	nowhere	
S0702	0	0	9	2238	10	110,1685	11,01685	0						KF_001.jpg		0	lkf1	nowhere	
S0702	0	0	10	2484	62	723,5402	11,67	0						KF_001.jpg		0	nowhere	nowhere	
S0702	0	0	11	2740	18	282,5611	15,69784	0						KF_001.jpg		0	nowhere	nowhere	
S0702	0	0	12	2904	58	485,5623	8,371764	0						KF_001.jpg		0	nowhere	nowhere	
S0702	0	0	13	3260	48	299,8252	6,246359	0						KF_001.jpg		0	fkf01	nowhere	
S0702	0	0	14	3484	32	688,0032	21,5001	0						KF_001.jpg		0	nowhere	nowhere	
S0702	0	0	15	3728	58	849,6964	14,64994	0						KF_001.jpg		0	nowhere	nowhere	
S0702	1	1	1	144	28	643,3744	22,97766	0						KF_002.jpg		0	fkf2	nowhere	
S0702	1	1	2	398	12	95,37186	7,947655	0						KF_002.jpg		0	fkf2	nowhere	
S0702	1	1	3	816	2	41,32893	20,66447	0						KF_002.jpg		0	fkf2	nowhere	
S0702	1	1	4	1068	2	36,75425	18,37712	0						KF_002.jpg		0	fkf2	nowhere	
S0702	1	1	5	1258	90	1257,845	13,97606	0						KF_002.jpg		0	lkf2	nowhere	
S0702	1	1	6	1452	22	98,60275	4,481943	0						KF_002.jpg		0	lkf2	nowhere	
S0702	1	1	7	1908	2	22,84353	11,42177	0						KF_002.jpg		0	lkf2	nowhere	
S0702	1	1	8	2236	12	145,074	12,0895	0						KF_002.jpg		0	lkf2	nowhere	
S0702	1	1	9	2518	88	1102,61	12,52965	0						KF_002.jpg		0	nowhere	nowhere	
S0702	1	1	10	2780	10	136,5571	13,65571	0						KF_002.jpg		0	nowhere	nowhere	
