SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Duration	Distance	Velocity	Validity	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	Saccade Target AOI	Saccade Target AOI group	
S0302	0	0	1	308	12	74,49963	6,208303	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	2	584	22	239,9332	10,90606	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	3	830	28	280,3308	10,01181	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	4	1118	2	35,81983	17,90992	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	5	1314	22	339,1484	15,41584	0						KF_001.jpg		0	fkf01	nowhere	
S0302	0	0	6	1588	2	35,22835	17,61417	0						KF_001.jpg		0	fkf01	nowhere	
S0302	0	0	7	2080	48	733,1967	15,27493	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	8	2330	2	52,96403	26,48202	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	9	2576	14	136,2942	9,735298	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	10	2704	30	418,2143	13,94048	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	11	2994	12	121,9704	10,1642	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	12	3178	20	271,8434	13,59217	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	13	3454	2	47,58684	23,79342	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	14	3690	12	56,84537	4,737114	0						KF_001.jpg		0	nowhere	nowhere	
S0302	0	0	15	3842	28	272,5276	9,733129	0						KF_001.jpg		0	fkf01	nowhere	
S0302	1	1	1	118	30	312,256	10,40853	0						KF_002.jpg		0	nowhere	nowhere	
S0302	1	1	2	286	32	364,5279	11,3915	0						KF_002.jpg		0	lkf2	nowhere	
S0302	1	1	3	448	34	99,80325	2,93539	0						KF_002.jpg		0	nowhere	nowhere	
S0302	1	1	4	702	66	1360,492	20,61352	0						KF_002.jpg		0	fkf2	nowhere	
S0302	1	1	5	968	2	31,27157	15,63578	0						KF_002.jpg		0	fkf2	nowhere	
S0302	1	1	6	1386	34	513,7123	15,10919	0						KF_002.jpg		0	nowhere	nowhere	
S0302	1	1	7	1676	2	52,70486	26,35243	0						KF_002.jpg		0	nowhere	nowhere	
S0302	1	1	8	1900	16	145,6484	9,103027	0						KF_002.jpg		0	nowhere	nowhere	
S0302	1	1	9	2342	8	94,744	11,843	0						KF_002.jpg		0	nowhere	nowhere	
S0302	1	1	10	2536	58	1208,498	20,83617	0						KF_002.jpg		0	nowhere	nowhere	
S0302	1	1	11	2768	2	37,9987	18,99935	0						KF_002.jpg		0	nowhere	nowhere	
S0302	1	1	12	3166	54	1249,491	23,13873	0						KF_002.jpg		0	nowhere	nowhere	
S0302	1	1	13	3396	16	116,2572	7,266074	0						KF_002.jpg		0	fkf2	nowhere	
S0302	2	2	1	212	42	543,1361	12,93181	0						KF_003.jpg		0	lkf3	nowhere	
S0302	2	2	2	356	56	169,78	3,031786	0						KF_003.jpg		0	lkf3	nowhere	
S0302	2	2	3	606	28	298,15	10,64821	0						KF_003.jpg		0	lkf3	nowhere	
S0302	2	2	4	814	32	326,9026	10,2157	0						KF_003.jpg		0	nowhere	nowhere	
S0302	2	2	5	1044	16	191,415	11,96344	0						KF_003.jpg		0	nowhere	nowhere	
S0302	2	2	6	1242	14	130,2152	9,301084	0						KF_003.jpg		0	nowhere	nowhere	
S0302	2	2	7	1520	8	83,78996	10,47374	0						KF_003.jpg		0	nowhere	nowhere	
S0302	2	2	8	1788	26	237,7176	9,142985	0						KF_003.jpg		0	nowhere	nowhere	
S0302	2	2	9	2020	8	80,40842	10,05105	0						KF_003.jpg		0	nowhere	nowhere	
S0302	2	2	10	2150	24	382,2199	15,92583	0						KF_003.jpg		0	fkf3	nowhere	
S0302	2	2	11	2426	2	35,30377	17,65188	0						KF_003.jpg		0	fkf3	nowhere	
S0302	2	2	12	2610	10	80,62373	8,062373	0						KF_003.jpg		0	fkf3	nowhere	
S0302	2	2	13	2814	178	984,0285	5,52825	0						KF_003.jpg		0	lkf3	nowhere	
S0302	2	2	14	3180	16	168,7625	10,54765	0						KF_003.jpg		0	lkf3	nowhere	
S0302	2	2	15	3430	12	177,6454	14,80379	0						KF_003.jpg		0	lkf3	nowhere	
S0302	2	2	16	3610	34	284,9577	8,38111	0						KF_003.jpg		0	lkf3	nowhere	
S0302	2	2	17	3920	2	33,35021	16,6751	0						KF_003.jpg		0	lkf3	nowhere	
S0302	3	3	1	184	34	296,5043	8,720714	0						KF_004.jpg		0	nowhere	nowhere	
S0302	3	3	2	356	20	305,1243	15,25622	0						KF_004.jpg		0	lkf4	nowhere	
S0302	3	3	3	536	14	156,0933	11,14952	0						KF_004.jpg		0	lkf4	nowhere	
S0302	3	3	4	752	10	125,3624	12,53624	0						KF_004.jpg		0	lkf4	nowhere	
S0302	3	3	5	922	38	807,6303	21,25343	0						KF_004.jpg		0	fkf4	nowhere	
S0302	3	3	6	1250	2	39,49226	19,74613	0						KF_004.jpg		0	fkf4	nowhere	
S0302	3	3	7	1462	10	76,06722	7,606722	0						KF_004.jpg		0	fkf4	nowhere	
S0302	3	3	8	1646	34	526,0575	15,47228	0						KF_004.jpg		0	nowhere	nowhere	
S0302	3	3	9	2016	40	633,016	15,8254	0						KF_004.jpg		0	lkf4	nowhere	
S0302	3	3	10	2236	14	126,638	9,045573	0						KF_004.jpg		0	lkf4	nowhere	
S0302	3	3	11	2484	10	110,2463	11,02463	0						KF_004.jpg		0	lkf4	nowhere	
S0302	3	3	12	2616	252	621,5779	2,466579	-1						KF_004.jpg		0	nowhere	nowhere	
S0302	3	3	13	3026	6	76,54379	12,7573	0						KF_004.jpg		0	nowhere	nowhere	
S0302	3	3	14	3420	8	88,41848	11,05231	0						KF_004.jpg		0	nowhere	nowhere	
S0302	3	3	15	3824	2	31,95142	15,97571	0						KF_004.jpg		0	nowhere	nowhere	
S0302	4	4	1	224	26	343,137	13,19758	0						KF_005.jpg		0	fkf5	nowhere	
S0302	4	4	2	386	2	40,35638	20,17819	0						KF_005.jpg		0	fkf5	nowhere	
S0302	4	4	3	548	10	112,8878	11,28878	0						KF_005.jpg		0	fkf5	nowhere	
S0302	4	4	4	698	10	123,0124	12,30124	0						KF_005.jpg		0	fkf5	nowhere	
S0302	4	4	5	886	14	164,7195	11,76568	0						KF_005.jpg		0	fkf5	nowhere	
S0302	4	4	6	1072	20	220,7281	11,03641	0						KF_005.jpg		0	fkf5	nowhere	
S0302	4	4	7	1400	2	48,1833	24,09165	0						KF_005.jpg		0	fkf5	nowhere	
S0302	4	4	8	1558	34	554,4451	16,30721	0						KF_005.jpg		0	nowhere	nowhere	
S0302	4	4	9	1932	10	110,9896	11,09896	0						KF_005.jpg		0	nowhere	nowhere	
S0302	4	4	10	2208	36	646,9662	17,97128	0						KF_005.jpg		0	lkf5	nowhere	
S0302	4	4	11	2576	34	437,7274	12,87433	0						KF_005.jpg		0	nowhere	nowhere	
S0302	4	4	12	2824	212	556,64	2,62566	0						KF_005.jpg		0	fkf5	nowhere	
S0302	4	4	13	3524	10	134,1146	13,41146	0						KF_005.jpg		0	fkf5	nowhere	
S0302	4	4	14	3716	2	44,17063	22,08531	0						KF_005.jpg		0	fkf5	nowhere	
S0302	4	4	15	3856	20	221,5757	11,07879	0						KF_005.jpg		0	fkf5	nowhere	
S0302	5	5	1	178	30	409,1804	13,63935	0						KF_006.jpg		0	nowhere	nowhere	
S0302	5	5	2	312	70	96,40511	1,377216	0						KF_006.jpg		0	fkf006	nowhere	
S0302	5	5	3	588	26	383,4597	14,74845	0						KF_006.jpg		0	nowhere	nowhere	
S0302	5	5	4	1292	28	319,8668	11,42381	0						KF_006.jpg		0	nowhere	nowhere	
S0302	5	5	5	1518	2	44,51673	22,25837	0						KF_006.jpg		0	nowhere	nowhere	
S0302	5	5	6	1688	28	458,2863	16,36737	0						KF_006.jpg		0	nowhere	nowhere	
S0302	5	5	7	1938	12	133,1007	11,09172	0						KF_006.jpg		0	nowhere	nowhere	
S0302	5	5	8	2202	2	43,54414	21,77207	0						KF_006.jpg		0	nowhere	nowhere	
S0302	5	5	9	2480	28	273,8769	9,781319	0						KF_006.jpg		0	nowhere	nowhere	
S0302	5	5	10	2796	24	330,8202	13,78418	0						KF_006.jpg		0	nowhere	nowhere	
S0302	5	5	11	3044	8	87,01494	10,87687	0						KF_006.jpg		0	fkf006	nowhere	
S0302	5	5	12	3604	20	237,166	11,8583	0						KF_006.jpg		0	nowhere	nowhere	
S0302	6	6	1	182	28	360,4329	12,8726	0						KF_007.jpg		0	fkf7	nowhere	
S0302	6	6	2	384	10	83,44594	8,344594	0						KF_007.jpg		0	fkf7	nowhere	
S0302	6	6	3	672	2	29,6192	14,8096	0						KF_007.jpg		0	fkf7	nowhere	
S0302	6	6	4	840	12	81,64522	6,803768	0						KF_007.jpg		0	fkf7	nowhere	
S0302	6	6	5	1330	34	457,4988	13,45585	0						KF_007.jpg		0	nowhere	nowhere	
S0302	6	6	6	1544	12	128,1468	10,6789	0						KF_007.jpg		0	nowhere	nowhere	
S0302	6	6	7	1922	2	28,26259	14,13129	0						KF_007.jpg		0	nowhere	nowhere	
S0302	6	6	8	2152	180	577,7157	3,209532	0						KF_007.jpg		0	fkf7	nowhere	
S0302	6	6	9	2488	10	62,2337	6,22337	0						KF_007.jpg		0	fkf7	nowhere	
S0302	6	6	10	2702	2	44,20249	22,10125	0						KF_007.jpg		0	fkf7	nowhere	
S0302	6	6	11	2946	8	87,82936	10,97867	0						KF_007.jpg		0	fkf7	nowhere	
S0302	6	6	12	3736	12	113,3402	9,445013	0						KF_007.jpg		0	fkf7	nowhere	
S0302	7	7	1	152	16	169,3703	10,58565	0						KF_008.jpg		0	fkf8	nowhere	
S0302	7	7	2	412	14	105,2592	7,518517	0						KF_008.jpg		0	fkf8	nowhere	
S0302	7	7	3	940	14	133,5967	9,542619	0						KF_008.jpg		0	fkf8	nowhere	
S0302	7	7	4	1168	2	48,35207	24,17603	0						KF_008.jpg		0	fkf8	nowhere	
S0302	7	7	5	1786	14	174,2731	12,44808	0						KF_008.jpg		0	fkf8	nowhere	
S0302	7	7	6	2074	2	21,72379	10,86189	0						KF_008.jpg		0	fkf8	nowhere	
S0302	7	7	7	3374	16	186,1394	11,63371	0						KF_008.jpg		0	fkf8	nowhere	
S0302	8	8	1	216	28	419,8438	14,99442	0						KF_009.jpg		0	nowhere	nowhere	
S0302	8	8	2	406	8	75,07134	9,383918	0						KF_009.jpg		0	fkf9	nowhere	
S0302	8	8	3	640	38	569,5567	14,98833	0						KF_009.jpg		0	lkf9	nowhere	
S0302	8	8	4	842	12	89,43185	7,452654	0						KF_009.jpg		0	lkf9	nowhere	
S0302	8	8	5	1058	10	73,48909	7,348909	0						KF_009.jpg		0	lkf9	nowhere	
S0302	8	8	6	1188	192	289,3661	1,507115	-1						KF_009.jpg		0	nowhere	nowhere	
S0302	8	8	7	1526	32	415,8084	12,99401	0						KF_009.jpg		0	fkf9	nowhere	
S0302	8	8	8	1716	8	74,06239	9,257798	0						KF_009.jpg		0	fkf9	nowhere	
S0302	8	8	9	1902	26	373,8184	14,37763	0						KF_009.jpg		0	nowhere	nowhere	
S0302	8	8	10	2282	16	223,8963	13,99352	0						KF_009.jpg		0	nowhere	nowhere	
S0302	8	8	11	2588	18	224,2537	12,45854	0						KF_009.jpg		0	nowhere	nowhere	
S0302	8	8	12	2790	2	47,91264	23,95632	0						KF_009.jpg		0	nowhere	nowhere	
S0302	8	8	13	3300	26	355,4662	13,67178	0						KF_009.jpg		0	fkf9	nowhere	
S0302	8	8	14	3538	2	43,82367	21,91183	0						KF_009.jpg		0	fkf9	nowhere	
S0302	9	9	1	246	10	110,4537	11,04537	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	2	442	16	176,2449	11,01531	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	3	628	18	193,0986	10,7277	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	4	968	26	359,8314	13,83967	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	5	1144	18	246,6267	13,70148	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	6	1392	12	105,4097	8,784145	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	7	1538	14	126,7808	9,055775	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	8	1684	100	1204,754	12,04753	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	9	1878	10	107,3432	10,73432	0						KF_010.jpg		0	fkf10	nowhere	
S0302	9	9	10	2188	2	27,18349	13,59175	0						KF_010.jpg		0	fkf10	nowhere	
S0302	9	9	11	2330	36	632,8259	17,5785	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	12	2624	16	173,5172	10,84483	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	13	2808	16	220,3222	13,77014	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	14	3024	14	156,9851	11,21322	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	15	3532	30	531,7433	17,72478	0						KF_010.jpg		0	nowhere	nowhere	
S0302	9	9	16	3916	2	32,99001	16,49501	0						KF_010.jpg		0	nowhere	nowhere	
S0302	10	10	1	220	22	233,9288	10,63313	0						KF_011.jpg		0	fkf11	nowhere	
S0302	10	10	2	434	86	513,5206	5,971169	0						KF_011.jpg		0	lkf11	nowhere	
S0302	10	10	3	698	10	65,47215	6,547215	0						KF_011.jpg		0	lkf11	nowhere	
S0302	10	10	4	1024	32	513,627	16,05084	0						KF_011.jpg		0	fkf11	nowhere	
S0302	10	10	5	1456	10	108,2739	10,82739	0						KF_011.jpg		0	fkf11	nowhere	
S0302	10	10	6	1772	2	37,99592	18,99796	0						KF_011.jpg		0	fkf11	nowhere	
S0302	10	10	7	1928	18	258,4256	14,35698	0						KF_011.jpg		0	fkf11	nowhere	
S0302	10	10	8	2644	12	153,1619	12,76349	0						KF_011.jpg		0	fkf11	nowhere	
S0302	10	10	9	2904	16	167,7844	10,48653	0						KF_011.jpg		0	fkf11	nowhere	
S0302	10	10	10	3130	2	33,6036	16,8018	0						KF_011.jpg		0	fkf11	nowhere	
S0302	10	10	11	3312	26	423,6048	16,29249	0						KF_011.jpg		0	lkf11	nowhere	
S0302	10	10	12	3522	8	87,5364	10,94205	0						KF_011.jpg		0	lkf11	nowhere	
S0302	11	11	1	168	20	247,9299	12,39649	0						KF_012.jpg		0	fkf12	nowhere	
S0302	11	11	2	392	14	78,56801	5,612	0						KF_012.jpg		0	fkf12	nowhere	
S0302	11	11	3	670	34	445,3088	13,09732	0						KF_012.jpg		0	nowhere	nowhere	
S0302	11	11	4	958	10	132,2422	13,22422	0						KF_012.jpg		0	nowhere	nowhere	
S0302	11	11	5	1188	2	48,81866	24,40933	0						KF_012.jpg		0	nowhere	nowhere	
S0302	11	11	6	1364	36	775,4175	21,53938	0						KF_012.jpg		0	lkf12	nowhere	
S0302	11	11	7	1552	10	65,19604	6,519604	0						KF_012.jpg		0	lkf12	nowhere	
S0302	11	11	8	1736	10	96,15656	9,615656	0						KF_012.jpg		0	lkf12	nowhere	
S0302	11	11	9	2010	42	515,8478	12,28209	0						KF_012.jpg		0	nowhere	nowhere	
S0302	11	11	10	2214	20	193,737	9,686852	0						KF_012.jpg		0	nowhere	nowhere	
S0302	11	11	11	2450	30	439,0247	14,63416	0						KF_012.jpg		0	fkf12	nowhere	
S0302	11	11	12	2704	10	80,01227	8,001226	0						KF_012.jpg		0	fkf12	nowhere	
S0302	11	11	13	3092	40	95,19408	2,379852	0						KF_012.jpg		0	fkf12	nowhere	
S0302	11	11	14	3246	28	483,9115	17,28255	0						KF_012.jpg		0	nowhere	nowhere	
S0302	11	11	15	3540	16	221,7925	13,86203	0						KF_012.jpg		0	nowhere	nowhere	
S0302	11	11	16	3804	2	51,20699	25,60349	0						KF_012.jpg		0	nowhere	nowhere	
S0302	12	12	1	200	24	263,2915	10,97048	0						KF_013.jpg		0	fkf13	nowhere	
S0302	12	12	2	428	20	134,1567	6,707836	0						KF_013.jpg		0	fkf13	nowhere	
S0302	12	12	3	628	8	97,43053	12,17882	0						KF_013.jpg		0	fkf13	nowhere	
S0302	12	12	4	804	28	490,0387	17,50138	0						KF_013.jpg		0	nowhere	nowhere	
S0302	12	12	5	994	12	71,26675	5,938896	0						KF_013.jpg		0	nowhere	nowhere	
S0302	12	12	6	1260	2	30,318	15,159	0						KF_013.jpg		0	nowhere	nowhere	
