SubjectName;TrialID;TrialSequence;CountInTrial;StartTime;Duration;Distance;Velocity;Validity;Trial Name;Saccade Target AOI group
S1002;0;0;1;198;184;707,7789;3,846625;0;KF_001.jpg;logo
S1002;1;1;1;208;48;628,5715;13,09524;0;KF_002.jpg;nowhere
S1002;2;2;1;234;42;621,8043;14,80486;0;KF_003.jpg;nowhere
S1002;3;3;1;206;12;84,65134;7,054278;0;KF_004.jpg;logo
S1002;4;4;1;176;122;485,9312;3,983043;0;KF_005.jpg;logo
S1002;5;5;1;186;30;382,426;12,74753;0;KF_006.jpg;nowhere
S1002;6;6;1;124;228;492,6834;2,160892;-1;KF_007.jpg;face
S1002;7;7;1;296;42;618,0139;14,71462;0;KF_008.jpg;logo
S1002;8;8;1;352;44;666,3087;15,14338;0;KF_009.jpg;logo
S1002;9;9;1;216;30;267,59;8,919666;0;KF_010.jpg;nowhere
S1002;10;10;1;240;16;211,5942;13,22464;0;KF_011.jpg;nowhere
S1002;11;11;1;192;24;181,4734;7,561393;0;KF_012.jpg;face
S1002;12;12;1;174;40;662,8152;16,57038;0;KF_013.jpg;logo
S1002;13;13;1;176;28;237,0498;8,466065;0;KF_014.jpg;face
S1002;14;14;1;96;8;95,44913;11,93114;0;KF_015.jpg;nowhere
S1002;15;15;1;184;36;501,5292;13,93137;0;KF_016.jpg;logo
S1002;16;16;1;242;18;186,8515;10,38064;0;KF_017.jpg;face
S1002;17;17;1;190;40;524,6072;13,11518;0;KF_018.jpg;logo
S1002;18;18;1;198;44;598,6368;13,60538;0;KF_019.jpg;logo
S1002;19;19;1;210;28;377,1714;13,47041;0;KF_020.jpg;logo
S1002;20;20;1;304;40;543,7538;13,59384;0;KF_021.jpg;nowhere
S1002;21;21;1;172;42;435,1268;10,36016;0;KF_022.jpg;nowhere
S1002;22;22;1;234;34;333,7106;9,815019;0;KF_023.jpg;nowhere
S1002;23;23;1;194;122;497,2637;4,075932;0;KF_024.jpg;logo
S1002;24;24;1;234;22;101,3123;4,605104;0;KF_025.jpg;face
S1002;25;25;1;150;54;1410,859;26,12702;0;KF_026.jpg;face
S1002;26;26;1;242;156;686,5724;4,401105;0;KF_027.jpg;logo
S1002;27;27;1;206;40;390,3311;9,758276;0;KF_028.jpg;logo
S1002;28;28;1;178;78;561,5744;7,199672;0;KF_029.jpg;logo
S1002;29;29;1;196;28;506,186;18,07807;0;KF_030.jpg;logo
S1002;30;30;1;158;24;201,0037;8,375154;0;KF_031.jpg;face
S1002;31;31;1;162;42;471,2266;11,21968;0;KF_032.jpg;face
S1002;32;32;1;210;122;582,8738;4,777655;0;KF_033.jpg;logo
S1002;33;33;1;288;40;245,3037;6,132594;0;KF_034.jpg;face
S1002;34;34;1;162;174;733,3066;4,214406;-1;KF_035.jpg;logo
S1002;35;35;1;188;28;407,9818;14,57078;0;KF_036.jpg;logo
S1002;36;36;1;220;22;346,8271;15,76487;0;KF_037.jpg;logo
S1002;37;37;1;212;56;729,9048;13,03401;0;KF_038.jpg;logo
S1002;38;38;1;282;30;314,0357;10,46786;0;KF_039.jpg;nowhere
S1002;39;39;1;212;34;633,0368;18,61873;0;KF_040.jpg;logo
S1002;40;40;1;212;38;600,0284;15,79022;0;KF_041.jpg;logo
S1002;41;41;1;232;50;571,7753;11,4355;0;KF_042.jpg;logo
S1002;42;42;1;188;18;230,0249;12,77916;0;KF_043.jpg;face
S1002;43;43;1;220;124;637,0157;5,137224;0;KF_044.jpg;logo
S1002;44;44;1;260;28;278,9353;9,961976;0;KF_045.jpg;nowhere
S1002;45;45;1;174;36;357,8472;9,940199;0;KF_046.jpg;nowhere
S1002;46;46;1;186;36;665,8483;18,49578;0;KF_047.jpg;nowhere
S1002;47;47;1;176;18;174,0798;9,671101;0;KF_048.jpg;face
S1002;48;48;1;180;36;300,2662;8,340728;0;KF_049.jpg;nowhere
S1002;49;49;1;204;138;600,9312;4,354574;0;KF_050.jpg;logo
S1002;50;50;1;176;20;309,1717;15,45858;0;KF_051.jpg;face
S1002;51;51;1;216;18;328,6109;18,25616;0;KF_052.jpg;face
S1002;52;52;1;170;108;314,5553;2,912549;0;KF_053.jpg;logo
S1002;53;53;1;282;42;689,9656;16,42775;0;KF_054.jpg;logo
S1002;54;54;1;182;40;366,9639;9,174098;0;KF_055.jpg;logo
S1002;55;55;1;174;20;152,1362;7,606808;0;KF_056.jpg;nowhere
S1002;56;56;1;182;46;541,8508;11,77937;0;KF_057.jpg;logo
S1002;57;57;1;204;22;438,8211;19,94641;0;KF_058.jpg;nowhere
S1002;58;58;1;226;20;271,8529;13,59265;0;KF_059.jpg;face
S1002;59;59;1;190;44;678,5673;15,42198;0;KF_060.jpg;logo
S1002;60;60;1;218;20;337,2597;16,86299;0;KF_061.jpg;logo
S1002;61;61;1;198;22;291,3235;13,24198;0;KF_062.jpg;face
S1002;62;62;1;198;10;80,80485;8,080484;0;KF_063.jpg;face
S1002;63;63;1;198;48;536,5018;11,17712;0;KF_064.jpg;logo
S1002;64;64;1;196;132;414,0637;3,136846;0;KF_065.jpg;face
S1002;65;65;1;180;148;649,1226;4,385963;0;KF_066.jpg;logo
S1002;66;66;1;166;26;169,5492;6,521122;0;KF_067.jpg;nowhere
S1002;67;67;1;174;22;381,9361;17,36073;0;KF_068.jpg;nowhere
S1002;68;68;1;218;16;145,0801;9,067505;0;KF_069.jpg;nowhere
S1002;69;69;1;172;18;270,4077;15,02265;0;KF_070.jpg;nowhere
S1002;70;70;1;226;24;325,7705;13,57377;0;KF_071.jpg;logo
S1002;71;71;1;86;44;318,5686;7,240196;0;KF_072.jpg;logo
S1002;72;72;1;254;52;816,6588;15,70498;0;KF_073.jpg;logo
S1002;73;73;1;332;40;664,3349;16,60837;0;KF_074.jpg;logo
S1002;74;74;1;148;16;237,49;14,84313;0;KF_075.jpg;face
S1002;75;75;1;144;38;988,7849;26,02065;0;KF_076.jpg;face
S1002;76;76;1;238;30;153,0166;5,100553;0;KF_077.jpg;face
S1002;77;77;1;154;150;331,6258;2,210838;0;KF_078.jpg;logo
S1002;78;78;1;188;36;243,6801;6,768892;0;KF_079.jpg;logo
S1002;79;79;1;220;46;596,9913;12,97807;0;KF_080.jpg;logo
S1002;80;80;1;168;22;178,7724;8,126019;0;KF_081.jpg;face
