SubjectName;TrialID;TrialSequence;CountInTrial;StartTime;Duration;Distance;Velocity;Validity;Trial Name;Saccade Target AOI group
S0702;0;0;1;172;56;299,436;5,347072;0;KF_001.jpg;face
S0702;1;1;1;144;28;643,3744;22,97766;0;KF_002.jpg;face
S0702;2;2;1;162;50;387,301;7,74602;0;KF_003.jpg;face
S0702;3;3;1;154;42;536,1312;12,76503;0;KF_004.jpg;face
S0702;4;4;1;186;48;315,0483;6,563507;0;KF_005.jpg;face
S0702;5;5;1;162;60;479,1494;7,985823;0;KF_006.jpg;face
S0702;6;6;1;170;18;459,3637;25,5202;0;KF_007.jpg;face
S0702;7;7;1;200;28;209,7949;7,492675;0;KF_008.jpg;face
S0702;8;8;1;176;2;46,31201;23,15601;0;KF_009.jpg;nowhere
S0702;9;9;1;170;28;326,8395;11,67284;0;KF_010.jpg;nowhere
S0702;10;10;1;198;22;56,00621;2,545737;0;KF_011.jpg;face
S0702;11;11;1;154;36;237,0127;6,583685;0;KF_012.jpg;face
S0702;12;12;1;204;30;265,5479;8,851596;0;KF_013.jpg;nowhere
S0702;13;13;1;154;32;315,2423;9,851322;0;KF_014.jpg;face
S0702;14;14;1;194;46;471,7532;10,2555;0;KF_015.jpg;face
S0702;15;15;1;144;32;364,6966;11,39677;0;KF_016.jpg;face
S0702;16;16;1;158;30;241,4801;8,049337;0;KF_017.jpg;face
S0702;17;17;1;178;34;298,2323;8,771538;0;KF_018.jpg;face
S0702;18;18;1;200;28;554,8842;19,81729;0;KF_019.jpg;logo
S0702;19;19;1;194;38;416,5196;10,96104;0;KF_020.jpg;logo
S0702;20;20;1;216;66;677,9126;10,2714;0;KF_021.jpg;face
S0702;21;21;1;210;22;409,2787;18,60357;0;KF_022.jpg;nowhere
S0702;22;22;1;176;10;92,79591;9,279592;0;KF_023.jpg;face
S0702;23;23;1;184;26;226,066;8,694846;0;KF_024.jpg;face
S0702;24;24;1;156;32;173,3002;5,41563;0;KF_025.jpg;face
S0702;25;25;1;180;28;228,9087;8,175311;0;KF_026.jpg;face
S0702;26;26;1;170;34;333,3049;9,803086;0;KF_027.jpg;face
S0702;27;27;1;162;54;427,2935;7,912844;0;KF_028.jpg;face
S0702;28;28;1;206;32;314,7485;9,83589;0;KF_029.jpg;face
S0702;29;29;1;192;28;213,8681;7,638146;0;KF_030.jpg;face
S0702;30;30;1;174;28;236,8067;8,457383;0;KF_031.jpg;face
S0702;31;31;1;156;62;539,2078;8,696899;0;KF_032.jpg;face
S0702;32;32;1;168;60;600,324;10,0054;0;KF_033.jpg;nowhere
S0702;33;33;1;144;36;335,7457;9,326269;0;KF_034.jpg;face
S0702;34;34;1;152;40;450,1618;11,25405;0;KF_035.jpg;face
S0702;35;35;1;372;10;76,1508;7,61508;0;KF_036.jpg;face
S0702;36;36;1;194;2;41,54357;20,77178;0;KF_037.jpg;face
S0702;37;37;1;94;2;39,97598;19,98799;0;KF_038.jpg;face
S0702;38;38;1;186;30;229,8694;7,662313;0;KF_039.jpg;face
S0702;39;39;1;194;12;139,372;11,61433;0;KF_040.jpg;face
S0702;40;40;1;156;26;196,9209;7,573881;0;KF_041.jpg;face
S0702;41;41;1;146;50;338,4291;6,768583;0;KF_042.jpg;face
S0702;42;42;1;200;58;353,5735;6,096095;0;KF_043.jpg;face
S0702;43;43;1;150;58;500,6585;8,632044;0;KF_044.jpg;face
S0702;44;44;1;162;58;434,9152;7,498538;0;KF_045.jpg;face
S0702;45;45;1;200;26;195,6508;7,525032;0;KF_046.jpg;face
S0702;46;46;1;226;54;278,3122;5,153929;0;KF_047.jpg;face
S0702;47;47;1;176;30;281,8641;9,395471;0;KF_048.jpg;face
S0702;48;48;1;184;50;460,8769;9,217537;0;KF_049.jpg;face
S0702;49;49;1;246;56;338,5031;6,044697;0;KF_050.jpg;face
S0702;50;50;1;140;50;359,7007;7,194013;0;KF_051.jpg;face
S0702;51;51;1;170;18;213,1863;11,84369;0;KF_052.jpg;nowhere
S0702;52;52;1;154;32;349,0972;10,90929;0;KF_053.jpg;face
S0702;53;53;1;190;26;154,1786;5,929946;0;KF_054.jpg;face
S0702;54;54;1;184;38;377,1276;9,924411;0;KF_055.jpg;nowhere
S0702;55;55;1;504;604;271,6794;0,4498003;-1;KF_056.jpg;nowhere
S0702;56;56;1;182;66;645,2271;9,776169;0;KF_057.jpg;logo
S0702;57;57;1;180;50;259,167;5,183341;0;KF_058.jpg;face
S0702;58;58;1;176;34;211,5441;6,221884;0;KF_059.jpg;face
