SubjectName;TrialID;TrialSequence;CountInTrial;StartTime;Duration;Distance;Velocity;Validity;Trial Name;Saccade Target AOI group
S0302;0;0;1;308;12;74,49963;6,208303;0;KF_001.jpg;nowhere
S0302;1;1;1;118;30;312,256;10,40853;0;KF_002.jpg;nowhere
S0302;2;2;1;212;42;543,1361;12,93181;0;KF_003.jpg;logo
S0302;3;3;1;184;34;296,5043;8,720714;0;KF_004.jpg;nowhere
S0302;4;4;1;224;26;343,137;13,19758;0;KF_005.jpg;face
S0302;5;5;1;178;30;409,1804;13,63935;0;KF_006.jpg;nowhere
S0302;6;6;1;182;28;360,4329;12,8726;0;KF_007.jpg;face
S0302;7;7;1;152;16;169,3703;10,58565;0;KF_008.jpg;face
S0302;8;8;1;216;28;419,8438;14,99442;0;KF_009.jpg;nowhere
S0302;9;9;1;246;10;110,4537;11,04537;0;KF_010.jpg;nowhere
S0302;10;10;1;220;22;233,9288;10,63313;0;KF_011.jpg;face
S0302;11;11;1;168;20;247,9299;12,39649;0;KF_012.jpg;face
S0302;12;12;1;200;24;263,2915;10,97048;0;KF_013.jpg;face
S0302;13;13;1;164;18;237,4772;13,19318;0;KF_014.jpg;face
S0302;14;14;1;194;28;410,7241;14,66872;0;KF_015.jpg;face
S0302;15;15;1;162;22;268,3778;12,19899;0;KF_016.jpg;face
S0302;16;16;1;202;14;164,0885;11,72061;0;KF_017.jpg;face
S0302;17;17;1;174;14;169,6257;12,11612;0;KF_018.jpg;face
S0302;18;18;1;186;10;155,3827;15,53827;0;KF_019.jpg;face
S0302;19;19;1;180;20;213,7092;10,68546;0;KF_020.jpg;nowhere
S0302;20;20;1;244;46;803,7534;17,4729;0;KF_021.jpg;nowhere
S0302;21;21;1;190;36;441,2831;12,25786;0;KF_022.jpg;face
S0302;22;22;1;178;10;104,5734;10,45735;0;KF_023.jpg;face
S0302;23;23;1;246;10;93,54488;9,354488;0;KF_024.jpg;face
S0302;24;24;1;170;16;161,2788;10,07993;0;KF_025.jpg;face
S0302;25;25;1;192;32;436,8451;13,65141;0;KF_026.jpg;face
S0302;26;26;1;162;8;106,4453;13,30567;0;KF_027.jpg;face
S0302;27;27;1;182;42;478,7412;11,3986;0;KF_028.jpg;nowhere
S0302;28;28;1;186;16;230,4826;14,40516;0;KF_029.jpg;face
S0302;29;29;1;316;68;195,8594;2,880285;0;KF_030.jpg;face
S0302;30;30;1;212;20;221,6957;11,08479;0;KF_031.jpg;face
S0302;31;31;1;174;32;482,927;15,09147;0;KF_032.jpg;face
S0302;32;32;1;204;24;278,059;11,58579;0;KF_033.jpg;nowhere
S0302;33;33;1;176;24;319,7241;13,32184;0;KF_034.jpg;face
S0302;34;34;1;156;30;366,206;12,20687;0;KF_035.jpg;face
S0302;35;35;1;174;16;150,3703;9,398143;0;KF_036.jpg;nowhere
S0302;36;36;1;214;32;454,7136;14,2098;0;KF_037.jpg;logo
S0302;37;37;1;242;12;136,414;11,36784;0;KF_038.jpg;face
S0302;38;38;1;212;26;479,9374;18,45913;0;KF_039.jpg;face
S0302;39;39;1;226;2;57,32529;28,66265;0;KF_040.jpg;face
S0302;40;40;1;296;16;252,5315;15,78322;0;KF_041.jpg;face
S0302;41;41;1;256;22;241,0631;10,95742;0;KF_042.jpg;nowhere
S0302;42;42;1;208;16;254,1894;15,88684;0;KF_043.jpg;face
S0302;43;43;1;260;16;256,4239;16,02649;0;KF_044.jpg;nowhere
S0302;44;44;1;196;30;457,8956;15,26319;0;KF_045.jpg;nowhere
S0302;45;45;1;356;24;254,5663;10,60693;0;KF_046.jpg;face
S0302;46;46;1;238;16;241,415;15,08844;0;KF_047.jpg;face
S0302;47;47;1;204;94;1081,16;11,50171;0;KF_048.jpg;nowhere
S0302;48;48;1;272;26;398,5013;15,32697;0;KF_049.jpg;logo
S0302;49;49;1;178;16;253,388;15,83675;0;KF_050.jpg;face
S0302;50;50;1;172;28;302,8432;10,81583;0;KF_051.jpg;face
S0302;51;51;1;270;24;386,326;16,09692;0;KF_052.jpg;nowhere
S0302;52;52;1;192;20;255,7508;12,78754;0;KF_053.jpg;face
S0302;53;53;1;200;16;178,2752;11,1422;0;KF_054.jpg;face
S0302;54;54;1;232;30;280,8325;9,361084;0;KF_055.jpg;face
S0302;55;55;1;134;90;228,6842;2,540936;0;KF_056.jpg;face
S0302;56;56;1;262;24;355,2195;14,80081;0;KF_057.jpg;nowhere
S0302;57;57;1;176;14;185,4285;13,24489;0;KF_058.jpg;face
S0302;58;58;1;196;16;242,5727;15,16079;0;KF_059.jpg;face
S0302;59;59;1;166;20;168,6037;8,430184;0;KF_060.jpg;face
S0302;60;60;1;156;34;541,2852;15,92015;0;KF_061.jpg;nowhere
S0302;61;61;1;170;20;263,9972;13,19986;0;KF_062.jpg;face
S0302;62;62;1;190;14;154,1155;11,00825;0;KF_063.jpg;face
S0302;63;63;1;198;50;330,1185;6,602369;0;KF_064.jpg;nowhere
S0302;64;64;1;208;28;451,5959;16,12843;0;KF_065.jpg;face
S0302;65;65;1;216;36;584,637;16,23992;0;KF_066.jpg;face
S0302;66;66;1;208;32;301,8119;9,431622;0;KF_067.jpg;face
S0302;67;67;1;286;8;43,63277;5,454097;0;KF_068.jpg;logo
S0302;68;68;1;148;16;188,4626;11,77891;0;KF_069.jpg;face
S0302;69;69;1;292;16;212,2785;13,26741;0;KF_070.jpg;face
S0302;70;70;1;262;24;362,1325;15,08885;0;KF_071.jpg;logo
S0302;71;71;1;180;18;203,8008;11,32227;0;KF_072.jpg;face
S0302;72;72;1;164;8;95,25047;11,90631;0;KF_073.jpg;face
S0302;73;73;1;242;2;46,72525;23,36262;0;KF_074.jpg;face
S0302;74;74;1;192;14;224,5785;16,04132;0;KF_075.jpg;face
S0302;75;75;1;148;32;665,8849;20,8089;0;KF_076.jpg;face
S0302;76;76;1;230;18;211,5892;11,75495;0;KF_077.jpg;face
S0302;77;77;1;192;34;625,076;18,38459;0;KF_078.jpg;face
S0302;78;78;1;216;22;200,565;9,116592;0;KF_079.jpg;logo
S0302;79;79;1;336;16;213,5288;13,34555;0;KF_080.jpg;face
S0302;80;80;1;194;16;255,6371;15,97732;0;KF_081.jpg;face
S0302;81;81;1;192;12;103,9548;8,662902;0;KF_082.jpg;face
S0302;82;82;1;212;10;67,56883;6,756883;0;KF_083.jpg;face
S0302;83;83;1;256;30;332,8021;11,0934;0;KF_084.jpg;face
S0302;84;84;1;240;10;109,0366;10,90366;0;KF_085.jpg;face
S0302;85;85;1;206;24;265,5771;11,06571;0;KF_086.jpg;face
S0302;86;86;1;172;12;137,3551;11,44626;0;KF_087.jpg;face
S0302;87;87;1;182;30;452,5783;15,08594;0;KF_088.jpg;nowhere
S0302;88;88;1;172;18;301,5554;16,75307;0;KF_089.jpg;face
S0302;89;89;1;248;32;403,2638;12,60199;0;KF_090.jpg;face
S0302;90;90;1;254;8;59,02406;7,378007;0;KF_091.jpg;face
S0302;91;91;1;156;20;249,3559;12,4678;0;KF_092.jpg;face
S0302;92;92;1;208;16;233,5056;14,5941;0;KF_093.jpg;face
S0302;93;93;1;168;16;224,6568;14,04105;0;KF_094.jpg;face
S0302;94;94;1;202;18;200,927;11,16261;0;KF_095.jpg;face
S0302;95;95;1;174;20;175,7789;8,788944;0;KF_096.jpg;face
S0302;96;96;1;162;18;204,0073;11,33374;0;KF_097.jpg;face
S0302;97;97;1;176;28;344,6468;12,30882;0;KF_098.jpg;face
S0302;98;98;1;168;20;270,4937;13,52469;0;KF_099.jpg;face
S0302;99;99;1;172;22;208,5011;9,477322;0;KF_100.jpg;face
S0302;100;100;1;270;28;245,1321;8,75472;0;KL_001.png;nowhere
S0302;101;101;1;234;42;677,3082;16,12638;0;KL_002.png;logo
S0302;102;102;1;280;84;429,2247;5,109818;0;KL_003.png;nowhere
S0302;103;103;1;202;32;416,58;13,01812;0;KL_004.png;nowhere
S0302;104;104;1;208;22;181,9881;8,272184;0;KL_005.png;logo
S0302;105;105;1;202;32;608,4695;19,01467;0;KL_006.png;logo
S0302;106;106;1;158;38;582,1186;15,31891;0;KL_007.png;logo
S0302;107;107;1;236;24;411,8259;17,15941;0;KL_008.png;logo
S0302;108;108;1;182;30;311,42;10,38066;0;KL_009.png;logo
S0302;109;109;1;294;2;47,33881;23,6694;0;KL_010.png;nowhere
S0302;110;110;1;218;24;349,4979;14,56241;0;KL_011.png;logo
S0302;111;111;1;214;36;596,7172;16,57548;0;KL_012.png;logo
S0302;112;112;1;292;36;420,2009;11,67225;0;KL_013.png;nowhere
S0302;113;113;1;202;14;144,1585;10,29703;0;KL_014.png;nowhere
S0302;114;114;1;298;8;88,17712;11,02214;0;KL_015.png;nowhere
S0302;115;115;1;188;24;379,6781;15,81992;0;KL_016.png;logo
S0302;116;116;1;248;22;260,3002;11,83183;0;KL_017.png;nowhere
S0302;117;117;1;194;24;398,5471;16,60613;0;KL_018.png;nowhere
S0302;118;118;1;232;14;176,5934;12,61382;0;KL_019.png;nowhere
S0302;119;119;1;238;36;667,8539;18,5515;0;KL_020.png;logo
S0302;120;120;1;198;20;235,2199;11,76099;0;KL_021.png;logo
S0302;121;121;1;406;40;464,4827;11,61207;0;KL_022.png;nowhere
S0302;122;122;1;216;32;518,5537;16,2048;0;KL_023.png;nowhere
S0302;123;123;1;344;8;77,54019;9,692524;0;KL_024.png;logo
S0302;124;124;1;182;34;507,1671;14,91668;0;KL_025.png;logo
S0302;125;125;1;178;32;408,3835;12,76198;0;KL_026.png;nowhere
S0302;126;126;1;172;34;603,2328;17,74214;0;KL_027.png;logo
S0302;127;127;1;222;28;348,9809;12,4636;0;KL_028.png;nowhere
S0302;128;128;1;126;94;247,3342;2,631215;0;KL_029.png;logo
S0302;129;129;1;214;36;733,0861;20,3635;0;KL_030.png;nowhere
S0302;130;130;1;262;44;600,5766;13,64947;0;KL_031.png;nowhere
S0302;131;131;1;434;2;27,26295;13,63148;0;KL_032.png;nowhere
S0302;132;132;1;198;36;522,9809;14,52725;0;KL_033.png;logo
S0302;133;133;1;250;22;407,0897;18,50408;0;KL_034.png;logo
S0302;134;134;1;372;26;430,4389;16,55534;0;KL_035.png;nowhere
S0302;135;135;1;274;36;369,2626;10,25729;0;KL_036.png;nowhere
S0302;136;136;1;280;94;418,4887;4,452007;0;KL_037.png;nowhere
S0302;137;137;1;240;14;147,5091;10,53636;0;KL_038.png;nowhere
S0302;138;138;1;248;24;301,0927;12,54553;0;KL_039.png;nowhere
S0302;139;139;1;162;24;360,7866;15,03278;0;KL_040.png;logo
S0302;140;140;1;176;26;454,6949;17,48826;0;KL_041.png;logo
S0302;141;141;1;184;40;678,0285;16,95071;0;KL_042.png;logo
S0302;142;142;1;214;32;402,4109;12,57534;0;KL_043.png;logo
S0302;143;143;1;278;24;229,0965;9,545686;0;KL_044.png;nowhere
S0302;144;144;1;184;22;363,1595;16,50725;0;KL_045.png;nowhere
S0302;145;145;1;246;30;289,09;9,636333;0;KL_046.png;nowhere
S0302;146;146;1;186;270;453,9517;1,681303;-1;KL_047.png;logo
S0302;147;147;1;214;36;415,2138;11,53372;0;KL_048.png;nowhere
S0302;148;148;1;218;38;697,4062;18,35279;0;KL_049.png;logo
S0302;149;149;1;192;36;621,6287;17,26746;0;KL_050.png;nowhere
S0302;150;150;1;180;32;532,8564;16,65176;0;KL_051.png;logo
S0302;151;151;1;126;2;26,84445;13,42222;0;KL_052.png;nowhere
S0302;152;152;1;194;32;443,4294;13,85717;0;KL_053.png;nowhere
S0302;153;153;1;218;18;221,4727;12,30404;0;KL_054.png;logo
S0302;154;154;1;192;34;512,5506;15,07502;0;KL_055.png;logo
S0302;155;155;1;220;28;445,576;15,91343;0;KL_056.png;nowhere
S0302;156;156;1;190;30;417,215;13,90717;0;KL_057.png;logo
S0302;157;157;1;182;30;441,9029;14,7301;0;KL_058.png;nowhere
S0302;158;158;1;160;20;236,1862;11,80931;0;KL_059.png;logo
S0302;159;159;1;196;38;759,3447;19,98275;0;KL_060.png;logo
S0302;160;160;1;182;18;314,8519;17,49177;0;KL_061.png;logo
S0302;161;161;1;208;22;317,6705;14,43957;0;KL_062.png;logo
S0302;162;162;1;242;8;74,69549;9,336936;0;KL_063.png;nowhere
S0302;163;163;1;256;40;647,4341;16,18585;0;KL_064.png;logo
S0302;164;164;1;354;12;67,36979;5,614149;0;KL_065.png;nowhere
S0302;165;165;1;214;30;412,3854;13,74618;0;KL_066.png;logo
S0302;166;166;1;84;258;402,2419;1,559077;-1;KL_067.png;nowhere
S0302;167;167;1;314;14;97,12237;6,937312;0;KL_068.png;nowhere
S0302;168;168;1;238;188;813,9216;4,32937;0;KL_069.png;logo
S0302;169;169;1;206;30;389,1537;12,97179;0;KL_070.png;nowhere
S0302;170;170;1;236;20;94,77105;4,738553;0;KL_071.png;nowhere
S0302;171;171;1;196;32;399,8107;12,49409;0;KL_072.png;nowhere
S0302;172;172;1;390;34;632,9905;18,61737;0;KL_073.png;logo
S0302;173;173;1;246;10;130,665;13,0665;0;KL_074.png;nowhere
S0302;174;174;1;222;28;371,2011;13,25718;0;KL_075.png;logo
S0302;175;175;1;202;32;473,8728;14,80852;0;KL_076.png;logo
S0302;176;176;1;242;24;348,7759;14,53233;0;KL_077.png;nowhere
S0302;177;177;1;200;46;597,3768;12,98645;0;KL_078.png;nowhere
S0302;178;178;1;194;24;361,5273;15,06364;0;KL_079.png;nowhere
S0302;179;179;1;352;30;488,654;16,28847;0;KL_080.png;nowhere
S0302;180;180;1;188;28;465,8531;16,63761;0;KL_081.png;logo
S0302;181;181;1;218;38;610,8654;16,0754;0;KL_082.png;nowhere
S0302;182;182;1;162;78;645,1872;8,27163;0;KL_083.png;nowhere
S0302;183;183;1;290;30;428,5358;14,28453;0;KL_084.png;nowhere
S0302;184;184;1;242;44;634,0606;14,41047;0;KL_085.png;logo
S0302;185;185;1;186;40;622,9916;15,57479;0;KL_086.png;logo
S0302;186;186;1;208;30;469,6947;15,65649;0;KL_087.png;logo
S0302;187;187;1;326;32;418,9113;13,09098;0;KL_088.png;nowhere
S0302;188;188;1;178;20;288,4803;14,42401;0;KL_089.png;logo
S0302;189;189;1;144;88;299,762;3,406386;0;KL_090.png;nowhere
S0302;190;190;1;192;38;748,0345;19,68512;0;KL_091.png;logo
S0302;191;191;1;206;48;552,6592;11,51373;0;KL_092.png;logo
S0302;192;192;1;204;30;289,2127;9,640424;0;KL_093.png;nowhere
S0302;193;193;1;340;36;460,7131;12,79759;0;KL_094.png;nowhere
S0302;194;194;1;232;34;474,879;13,96703;0;KL_095.png;nowhere
S0302;195;195;1;230;18;206,7637;11,48687;0;KL_096.png;nowhere
S0302;196;196;1;212;40;656,5216;16,41304;0;KL_097.png;logo
S0302;197;197;1;338;18;217,6962;12,09423;0;KL_098.png;nowhere
S0302;198;198;1;184;28;469,097;16,75347;0;KL_099.png;nowhere
S0302;199;199;1;238;34;301,7249;8,87426;0;KL_100.png;nowhere
S0302;200;200;1;188;22;305,0669;13,86668;0;UF_001.jpg;face
S0302;201;201;1;216;28;338,5803;12,09215;0;UF_002.jpg;nowhere
S0302;202;202;1;202;64;900,1767;14,06526;0;UF_003.jpg;face
S0302;203;203;1;164;34;484,136;14,23929;0;UF_004.jpg;logo
S0302;204;204;1;274;32;217,6921;6,802877;0;UF_005.jpg;face
