ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	AOI	AOI group	
1	S0602	0	0	1	0	174	912,465759277344	335,440887451172						KF_001.jpg		0	nowhere	nowhere	
2	S0602	0	0	2	184	186	1003,54577636719	322,092468261719						KF_001.jpg		0	fkf01	nowhere	
3	S0602	0	0	3	372	232	1018,98303222656	295,017028808594						KF_001.jpg		0	fkf01	nowhere	
4	S0602	0	0	4	642	252	281,755187988281	813,880432128906						KF_001.jpg		0	lkf1	nowhere	
5	S0602	0	0	5	910	442	368,143676757813	838,589599609375						KF_001.jpg		0	lkf1	nowhere	
6	S0602	0	0	6	1354	292	315,944915771484	852,628479003906						KF_001.jpg		0	lkf1	nowhere	
7	S0602	0	0	7	1648	330	368,214996337891	836,380737304688						KF_001.jpg		0	lkf1	nowhere	
8	S0602	0	0	8	1986	374	309,160095214844	867,90185546875						KF_001.jpg		0	lkf1	nowhere	
9	S0602	0	0	9	2400	204	1089,44653320313	583,008911132813						KF_001.jpg		0	nowhere	nowhere	
10	S0602	0	0	10	2622	210	1094,42749023438	277,767913818359						KF_001.jpg		0	fkf01	nowhere	
11	S0602	0	0	11	2840	186	1027,28503417969	246,462783813477						KF_001.jpg		0	fkf01	nowhere	
12	S0602	0	0	12	3054	234	1225,63586425781	552,260986328125						KF_001.jpg		0	nowhere	nowhere	
13	S0602	0	0	13	3314	386	988,447814941406	840,580444335938						KF_001.jpg		0	nowhere	nowhere	
14	S0602	0	0	14	3720	134	1106,36462402344	580,017517089844						KF_001.jpg		0	nowhere	nowhere	
15	S0602	0	0	15	3870	140	1011,52807617188	328,343719482422						KF_001.jpg		0	fkf01	nowhere	
16	S0602	1	1	1	0	190	996,773132324219	526,996887207031						KF_002.jpg		0	nowhere	nowhere	
17	S0602	1	1	2	226	114	1589,95153808594	419,474029541016						KF_002.jpg		0	nowhere	nowhere	
18	S0602	1	1	3	356	200	1599,33923339844	298,309906005859						KF_002.jpg		0	fkf2	nowhere	
19	S0602	1	1	4	558	366	1619,58605957031	260,396240234375						KF_002.jpg		0	fkf2	nowhere	
20	S0602	1	1	5	974	494	402,621551513672	900,698059082031						KF_002.jpg		0	lkf2	nowhere	
21	S0602	1	1	6	1478	284	451,851013183594	827,650329589844						KF_002.jpg		0	lkf2	nowhere	
22	S0602	1	1	7	1764	236	439,253723144531	806,380493164063						KF_002.jpg		0	lkf2	nowhere	
23	S0602	1	1	8	2052	176	1651,78637695313	269,867370605469						KF_002.jpg		0	fkf2	nowhere	
24	S0602	1	1	9	2230	356	1593,58850097656	246,884857177734						KF_002.jpg		0	fkf2	nowhere	
25	S0602	1	1	10	2602	306	1605,63916015625	455,722747802734						KF_002.jpg		0	nowhere	nowhere	
26	S0602	1	1	11	2928	176	1549,5	552,989807128906						KF_002.jpg		0	nowhere	nowhere	
27	S0602	1	1	12	3120	164	1699,1201171875	524,10498046875						KF_002.jpg		0	nowhere	nowhere	
28	S0602	1	1	13	3306	286	1689,59020996094	694,417907714844						KF_002.jpg		0	nowhere	nowhere	
29	S0602	1	1	14	3608	362	1699,71142578125	485,165405273438						KF_002.jpg		0	nowhere	nowhere	
30	S0602	2	2	1	0	172	958,206909179688	551,119506835938						KF_003.jpg		0	nowhere	nowhere	
31	S0602	2	2	2	194	232	1167,26733398438	340,555511474609						KF_003.jpg		0	fkf3	nowhere	
32	S0602	2	2	3	428	182	1162,6826171875	287,839202880859						KF_003.jpg		0	fkf3	nowhere	
33	S0602	2	2	4	648	182	480,503326416016	909,984741210938						KF_003.jpg		0	lkf3	nowhere	
34	S0602	2	2	5	840	178	368,035552978516	928,722106933594						KF_003.jpg		0	lkf3	nowhere	
35	S0602	2	2	6	1310	258	1175,56726074219	957,208679199219						KF_003.jpg		0	nowhere	nowhere	
36	S0602	2	2	7	1580	256	1304,53723144531	919,470520019531						KF_003.jpg		0	nowhere	nowhere	
37	S0602	2	2	8	1850	154	1237,51171875	759,340942382813						KF_003.jpg		0	nowhere	nowhere	
38	S0602	2	2	9	2048	192	1184,61572265625	438,390777587891						KF_003.jpg		0	nowhere	nowhere	
39	S0602	2	2	10	2258	416	1147,00744628906	220,759002685547						KF_003.jpg		0	fkf3	nowhere	
40	S0602	2	2	11	2704	230	1110,11608886719	631,35009765625						KF_003.jpg		0	nowhere	nowhere	
41	S0602	2	2	12	2948	478	1284,52087402344	668,842529296875						KF_003.jpg		0	nowhere	nowhere	
42	S0602	2	2	13	3592	280	1150,72985839844	166,431884765625						KF_003.jpg		0	fkf3	nowhere	
43	S0602	2	2	14	3874	138	1179,95263671875	176,442855834961						KF_003.jpg		0	fkf3	nowhere	
44	S0602	3	3	1	0	200	1036,35241699219	468,333679199219						KF_004.jpg		0	lkf4	nowhere	
45	S0602	3	3	2	216	144	1254,03271484375	448,342529296875						KF_004.jpg		0	lkf4	nowhere	
46	S0602	3	3	3	396	194	468,399047851563	236,310180664063						KF_004.jpg		0	fkf4	nowhere	
47	S0602	3	3	4	602	310	573,525024414063	238,791015625						KF_004.jpg		0	fkf4	nowhere	
48	S0602	3	3	5	922	176	532,70556640625	201,923614501953						KF_004.jpg		0	fkf4	nowhere	
49	S0602	3	3	6	1138	248	1129,05322265625	420,997619628906						KF_004.jpg		0	lkf4	nowhere	
50	S0602	3	3	7	1402	606	1303,68103027344	436,915588378906						KF_004.jpg		0	lkf4	nowhere	
51	S0602	3	3	8	2026	286	1109,65966796875	459,190216064453						KF_004.jpg		0	lkf4	nowhere	
52	S0602	3	3	9	2340	388	655,250244140625	659,146545410156						KF_004.jpg		0	nowhere	nowhere	
53	S0602	3	3	10	2752	124	580,798400878906	297,515869140625						KF_004.jpg		0	fkf4	nowhere	
54	S0602	3	3	11	2908	364	1156,89270019531	429,879272460938						KF_004.jpg		0	lkf4	nowhere	
55	S0602	3	3	12	3288	192	1318,93298339844	383,527801513672						KF_004.jpg		0	lkf4	nowhere	
56	S0602	3	3	13	3482	298	1299,17712402344	373,511260986328						KF_004.jpg		0	lkf4	nowhere	
