ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	AOI	AOI group	
1	S0902	0	0	1	46	304	949,688720703125	394,373870849609						KF_001.jpg		0	nowhere	nowhere	
2	S0902	0	0	2	380	206	934,302001953125	107,774971008301						KF_001.jpg		0	fkf01	nowhere	
3	S0902	0	0	3	588	128	982,473937988281	92,3215408325195						KF_001.jpg		0	fkf01	nowhere	
4	S0902	0	0	4	948	170	1406,0791015625	775,459106445313						KF_001.jpg		0	nowhere	nowhere	
5	S0902	0	0	5	1120	114	1413,68481445313	797,598266601563						KF_001.jpg		0	nowhere	nowhere	
6	S0902	0	0	6	1568	182	1394,88903808594	182,397796630859						KF_001.jpg		0	nowhere	nowhere	
7	S0902	0	0	7	1764	136	1367,84350585938	92,5956497192383						KF_001.jpg		0	nowhere	nowhere	
8	S0902	0	0	8	1938	252	957,528137207031	110,806282043457						KF_001.jpg		0	fkf01	nowhere	
9	S0902	0	0	9	2394	128	160,45231628418	668,501525878906						KF_001.jpg		0	nowhere	nowhere	
10	S0902	0	0	10	2532	172	131,34716796875	727,986206054688						KF_001.jpg		0	lkf1	nowhere	
11	S0902	0	0	11	2716	408	187,205825805664	799,556274414063						KF_001.jpg		0	lkf1	nowhere	
12	S0902	0	0	12	3204	470	1022,18280029297	73,9224700927734						KF_001.jpg		0	fkf01	nowhere	
13	S0902	0	0	13	3682	328	967,413513183594	133,952178955078						KF_001.jpg		0	fkf01	nowhere	
14	S0902	1	1	1	0	94	918,735534667969	537,833374023438						KF_002.jpg		0	nowhere	nowhere	
15	S0902	1	1	2	96	120	931,032836914063	509,495147705078						KF_002.jpg		0	nowhere	nowhere	
16	S0902	1	1	3	286	164	1618,38818359375	234,546966552734						KF_002.jpg		0	fkf2	nowhere	
17	S0902	1	1	4	452	528	1589,71301269531	194,624649047852						KF_002.jpg		0	fkf2	nowhere	
18	S0902	1	1	5	982	386	1556,0029296875	218,059783935547						KF_002.jpg		0	fkf2	nowhere	
19	S0902	1	1	6	1582	142	1605,19287109375	226,761077880859						KF_002.jpg		0	fkf2	nowhere	
20	S0902	1	1	7	1726	374	1552,76330566406	228,571273803711						KF_002.jpg		0	fkf2	nowhere	
21	S0902	1	1	8	2110	162	1588,30114746094	279,315887451172						KF_002.jpg		0	fkf2	nowhere	
22	S0902	1	1	9	2308	184	1449,29675292969	752,068786621094						KF_002.jpg		0	nowhere	nowhere	
23	S0902	1	1	10	2494	196	1424,89709472656	728,277709960938						KF_002.jpg		0	nowhere	nowhere	
24	S0902	1	1	11	2722	248	1592,98901367188	599,800720214844						KF_002.jpg		0	nowhere	nowhere	
25	S0902	1	1	12	2990	390	1678,93627929688	734,980895996094						KF_002.jpg		0	nowhere	nowhere	
26	S0902	1	1	13	3412	118	1414,33837890625	717,276489257813						KF_002.jpg		0	nowhere	nowhere	
27	S0902	1	1	14	3600	142	230,484725952148	825,163818359375						KF_002.jpg		0	nowhere	nowhere	
28	S0902	1	1	15	3752	206	343,357696533203	879,239501953125						KF_002.jpg		0	lkf2	nowhere	
29	S0902	2	2	1	0	138	934,271301269531	531,037170410156						KF_003.jpg		0	nowhere	nowhere	
30	S0902	2	2	2	164	240	1090,17785644531	220,519821166992						KF_003.jpg		0	fkf3	nowhere	
31	S0902	2	2	3	406	176	1118,54174804688	165,194427490234						KF_003.jpg		0	fkf3	nowhere	
32	S0902	2	2	4	588	440	1036,60498046875	184,280960083008						KF_003.jpg		0	fkf3	nowhere	
33	S0902	2	2	5	1042	284	1116,9775390625	304,835540771484						KF_003.jpg		0	fkf3	nowhere	
34	S0902	2	2	6	1414	226	293,288543701172	878,284423828125						KF_003.jpg		0	nowhere	nowhere	
35	S0902	2	2	7	1660	226	508,620056152344	926,097290039063						KF_003.jpg		0	lkf3	nowhere	
36	S0902	2	2	8	1904	220	367,398193359375	899,674682617188						KF_003.jpg		0	lkf3	nowhere	
37	S0902	2	2	9	2136	318	320,931884765625	894,312683105469						KF_003.jpg		0	lkf3	nowhere	
38	S0902	2	2	10	2518	128	644,264587402344	753,549133300781						KF_003.jpg		0	nowhere	nowhere	
39	S0902	2	2	11	2704	154	1073,55993652344	314,721740722656						KF_003.jpg		0	fkf3	nowhere	
40	S0902	2	2	12	2872	194	1137,69287109375	162,904052734375						KF_003.jpg		0	fkf3	nowhere	
41	S0902	2	2	13	3100	328	579,162902832031	280,218811035156						KF_003.jpg		0	nowhere	nowhere	
42	S0902	2	2	14	3476	222	1134,09362792969	610,605346679688						KF_003.jpg		0	nowhere	nowhere	
43	S0902	2	2	15	3750	156	1203,31750488281	307,970886230469						KF_003.jpg		0	fkf3	nowhere	
44	S0902	2	2	16	3930	82	1134,67358398438	197,190475463867						KF_003.jpg		0	fkf3	nowhere	
45	S0902	3	3	1	0	200	928,058349609375	483,679138183594						KF_004.jpg		0	lkf4	nowhere	
46	S0902	3	3	2	252	254	418,303070068359	194,226608276367						KF_004.jpg		0	fkf4	nowhere	
47	S0902	3	3	3	508	352	405,413543701172	167,393814086914						KF_004.jpg		0	fkf4	nowhere	
48	S0902	3	3	4	872	194	467,021362304688	99,6040954589844						KF_004.jpg		0	fkf4	nowhere	
49	S0902	3	3	5	1120	238	1018,66662597656	434,131683349609						KF_004.jpg		0	lkf4	nowhere	
50	S0902	3	3	6	1390	170	1253,61755371094	336,223266601563						KF_004.jpg		0	lkf4	nowhere	
51	S0902	3	3	7	1578	320	1042,36596679688	367,740356445313						KF_004.jpg		0	lkf4	nowhere	
52	S0902	3	3	8	1914	216	1140,38000488281	396,269744873047						KF_004.jpg		0	lkf4	nowhere	
53	S0902	3	3	9	2156	330	947,984191894531	738,188415527344						KF_004.jpg		0	nowhere	nowhere	
54	S0902	3	3	10	2500	156	875,573181152344	785,055786132813						KF_004.jpg		0	nowhere	nowhere	
55	S0902	3	3	11	2678	272	571,42626953125	861,013122558594						KF_004.jpg		0	nowhere	nowhere	
56	S0902	3	3	12	2960	192	527,548400878906	897,357788085938						KF_004.jpg		0	nowhere	nowhere	
57	S0902	3	3	13	3160	302	579,592163085938	982,679260253906						KF_004.jpg		0	nowhere	nowhere	
58	S0902	3	3	14	3520	300	855,066040039063	806,283386230469						KF_004.jpg		0	nowhere	nowhere	
59	S0902	3	3	15	3828	214	922,176879882813	785,44091796875						KF_004.jpg		0	nowhere	nowhere	
60	S0902	4	4	1	0	170	910,116271972656	467,402313232422						KF_005.jpg		0	fkf5	nowhere	
61	S0902	4	4	2	202	366	949,696655273438	132,34130859375						KF_005.jpg		0	fkf5	nowhere	
62	S0902	4	4	3	608	228	1394,18432617188	726,7763671875						KF_005.jpg		0	nowhere	nowhere	
63	S0902	4	4	4	846	182	1272,8349609375	756,814025878906						KF_005.jpg		0	nowhere	nowhere	
64	S0902	4	4	5	1060	482	797,116760253906	738,986328125						KF_005.jpg		0	nowhere	nowhere	
65	S0902	4	4	6	1584	304	719,710266113281	791,451538085938						KF_005.jpg		0	nowhere	nowhere	
66	S0902	4	4	7	1906	426	539,3896484375	916,453552246094						KF_005.jpg		0	nowhere	nowhere	
67	S0902	4	4	8	2358	218	868,470031738281	927,679077148438						KF_005.jpg		0	nowhere	nowhere	
68	S0902	4	4	9	2620	154	913,228454589844	210,999969482422						KF_005.jpg		0	fkf5	nowhere	
69	S0902	4	4	10	2786	458	940,424194335938	141,353881835938						KF_005.jpg		0	fkf5	nowhere	
70	S0902	4	4	11	3264	280	834,986450195313	5,85815525054932						KF_005.jpg		0	nowhere	nowhere	
71	S0902	4	4	12	3564	290	983,0693359375	-45,4239730834961						KF_005.jpg		0	nowhere	nowhere	
72	S0902	4	4	13	3864	146	1056,55029296875	29,5662174224854						KF_005.jpg		0	nowhere	nowhere	
73	S0902	5	5	1	42	146	914,789184570313	554,091857910156						KF_006.jpg		0	nowhere	nowhere	
74	S0902	5	5	2	216	150	517,439453125	340,451232910156						KF_006.jpg		0	nowhere	nowhere	
75	S0902	5	5	3	394	272	596,345153808594	165,021179199219						KF_006.jpg		0	fkf006	nowhere	
76	S0902	5	5	4	686	206	655,852844238281	385,826843261719						KF_006.jpg		0	nowhere	nowhere	
77	S0902	5	5	5	900	174	632,345458984375	313,061370849609						KF_006.jpg		0	nowhere	nowhere	
78	S0902	5	5	6	1092	132	832,425231933594	409,196990966797						KF_006.jpg		0	nowhere	nowhere	
79	S0902	5	5	7	1240	458	632,135925292969	327,113494873047						KF_006.jpg		0	nowhere	nowhere	
80	S0902	5	5	8	1776	146	1652,63366699219	847,391906738281						KF_006.jpg		0	lkf6	nowhere	
81	S0902	5	5	9	2166	302	474,638092041016	426,200103759766						KF_006.jpg		0	nowhere	nowhere	
82	S0902	5	5	10	2550	208	914,631408691406	859,465942382813						KF_006.jpg		0	nowhere	nowhere	
83	S0902	5	5	11	2836	132	959,831237792969	847,632690429688						KF_006.jpg		0	nowhere	nowhere	
84	S0902	5	5	12	3006	154	910,706359863281	822,698547363281						KF_006.jpg		0	nowhere	nowhere	
85	S0902	5	5	13	3210	246	435,630676269531	454,634704589844						KF_006.jpg		0	nowhere	nowhere	
86	S0902	5	5	14	3492	98	271,756042480469	286,118041992188						KF_006.jpg		0	nowhere	nowhere	
87	S0902	5	5	15	3650	174	1036,38745117188	330,740936279297						KF_006.jpg		0	nowhere	nowhere	
88	S0902	5	5	16	3834	168	943,649353027344	333,662353515625						KF_006.jpg		0	nowhere	nowhere	
89	S0902	6	6	1	0	204	915,928833007813	462,328186035156						KF_007.jpg		0	nowhere	nowhere	
90	S0902	6	6	2	236	176	1256,38208007813	184,065139770508						KF_007.jpg		0	fkf7	nowhere	
91	S0902	6	6	3	414	404	1313,74108886719	165,897552490234						KF_007.jpg		0	fkf7	nowhere	
92	S0902	6	6	4	826	170	1328,17077636719	261,433715820313						KF_007.jpg		0	fkf7	nowhere	
93	S0902	6	6	5	1036	242	563,504150390625	34,9090194702148						KF_007.jpg		0	lkf7	nowhere	
94	S0902	6	6	6	1290	272	613,992004394531	-7,69708108901978						KF_007.jpg		0	nowhere	nowhere	
95	S0902	6	6	7	1564	380	569,55029296875	-8,16125297546387						KF_007.jpg		0	nowhere	nowhere	
96	S0902	6	6	8	1992	744	290,220611572266	210,679458618164						KF_007.jpg		0	nowhere	nowhere	
97	S0902	6	6	9	2766	196	171,158599853516	545,139404296875						KF_007.jpg		0	nowhere	nowhere	
98	S0902	6	6	10	3012	192	519,849487304688	710,527770996094						KF_007.jpg		0	nowhere	nowhere	
99	S0902	6	6	11	3264	244	1073,67199707031	761,488098144531						KF_007.jpg		0	nowhere	nowhere	
100	S0902	6	6	12	3516	322	1059,85681152344	843,711608886719						KF_007.jpg		0	nowhere	nowhere	
101	S0902	6	6	13	3866	150	1118,55505371094	625,879089355469						KF_007.jpg		0	nowhere	nowhere	
102	S0902	7	7	1	36	266	899,862609863281	497,034210205078						KF_008.jpg		0	fkf8	nowhere	
103	S0902	7	7	2	318	184	776,878356933594	412,097961425781						KF_008.jpg		0	fkf8	nowhere	
104	S0902	7	7	3	512	328	840,527099609375	500,753875732422						KF_008.jpg		0	fkf8	nowhere	
105	S0902	7	7	4	912	120	1461,85595703125	677,934448242188						KF_008.jpg		0	nowhere	nowhere	
106	S0902	7	7	5	1100	186	1518,73083496094	730,495666503906						KF_008.jpg		0	nowhere	nowhere	
107	S0902	7	7	6	1296	250	1660,51501464844	706,028625488281						KF_008.jpg		0	nowhere	nowhere	
108	S0902	7	7	7	1592	142	1616,30297851563	694,197204589844						KF_008.jpg		0	nowhere	nowhere	
109	S0902	7	7	8	1826	100	1167,64123535156	590,641174316406						KF_008.jpg		0	fkf8	nowhere	
110	S0902	7	7	9	1948	154	1177,35522460938	638,93701171875						KF_008.jpg		0	fkf8	nowhere	
111	S0902	7	7	10	2152	268	1571,607421875	665,447387695313						KF_008.jpg		0	nowhere	nowhere	
112	S0902	7	7	11	2422	332	1561,03576660156	630,557067871094						KF_008.jpg		0	nowhere	nowhere	
113	S0902	7	7	12	2810	222	838,664367675781	313,625946044922						KF_008.jpg		0	fkf8	nowhere	
114	S0902	7	7	13	3042	280	770,099182128906	249,269454956055						KF_008.jpg		0	fkf8	nowhere	
115	S0902	7	7	14	3368	522	982,18505859375	263,976989746094						KF_008.jpg		0	fkf8	nowhere	
116	S0902	8	8	1	0	192	916,633056640625	525,853576660156						KF_009.jpg		0	fkf9	nowhere	
117	S0902	8	8	2	200	408	968,776916503906	455,01318359375						KF_009.jpg		0	fkf9	nowhere	
118	S0902	8	8	3	640	592	696,415222167969	786,847595214844						KF_009.jpg		0	nowhere	nowhere	
119	S0902	8	8	4	1234	268	723,417907714844	802,102111816406						KF_009.jpg		0	nowhere	nowhere	
120	S0902	8	8	5	1586	202	1563,36401367188	101,64803314209						KF_009.jpg		0	lkf9	nowhere	
121	S0902	8	8	6	1802	226	1500,80822753906	174,796493530273						KF_009.jpg		0	lkf9	nowhere	
122	S0902	8	8	7	2030	188	1521,64074707031	159,150512695313						KF_009.jpg		0	lkf9	nowhere	
123	S0902	8	8	8	2228	298	1617,53015136719	81,469352722168						KF_009.jpg		0	lkf9	nowhere	
124	S0902	8	8	9	2612	162	1047,76977539063	585,09375						KF_009.jpg		0	nowhere	nowhere	
125	S0902	8	8	10	2796	284	961,353149414063	475,400115966797						KF_009.jpg		0	fkf9	nowhere	
126	S0902	8	8	11	3082	252	994,289794921875	472,557525634766						KF_009.jpg		0	fkf9	nowhere	
