ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	AOI	AOI group	
1	S0802	0	0	1	0	184	886,11181640625	532,759216308594						KF_001.jpg		0	nowhere	nowhere	
2	S0802	0	0	2	204	144	918,798583984375	238,672592163086						KF_001.jpg		0	fkf01	nowhere	
3	S0802	0	0	3	418	126	1010,24371337891	183,80158996582						KF_001.jpg		0	fkf01	nowhere	
4	S0802	0	0	4	546	94	1029,10021972656	160,10417175293						KF_001.jpg		0	fkf01	nowhere	
5	S0802	0	0	5	688	168	125,392913818359	864,249450683594						KF_001.jpg		0	lkf1	nowhere	
6	S0802	0	0	6	898	148	155,557312011719	831,366638183594						KF_001.jpg		0	lkf1	nowhere	
7	S0802	0	0	7	1056	142	245,0361328125	912,570983886719						KF_001.jpg		0	lkf1	nowhere	
8	S0802	0	0	8	1236	216	445,319427490234	280,975250244141						KF_001.jpg		0	nowhere	nowhere	
9	S0802	0	0	9	1508	400	1458,41943359375	197,868606567383						KF_001.jpg		0	nowhere	nowhere	
10	S0802	0	0	10	1916	234	1450,96667480469	115,821212768555						KF_001.jpg		0	nowhere	nowhere	
11	S0802	0	0	11	2194	220	1351,44873046875	906,998352050781						KF_001.jpg		0	nowhere	nowhere	
12	S0802	0	0	12	2416	216	1391,77062988281	910,014526367188						KF_001.jpg		0	nowhere	nowhere	
13	S0802	0	0	13	2648	174	1446,27490234375	1033,58642578125						KF_001.jpg		0	nowhere	nowhere	
14	S0802	0	0	14	2854	130	949,177368164063	760,780151367188						KF_001.jpg		0	nowhere	nowhere	
15	S0802	0	0	15	3012	152	1032,91467285156	211,951965332031						KF_001.jpg		0	fkf01	nowhere	
16	S0802	0	0	16	3166	818	988,113159179688	202,752456665039						KF_001.jpg		0	fkf01	nowhere	
17	S0802	1	1	1	0	200	918,793151855469	572,768371582031						KF_002.jpg		0	nowhere	nowhere	
18	S0802	1	1	2	860	92	242,397872924805	952,802124023438						KF_002.jpg		0	nowhere	nowhere	
19	S0802	1	1	3	1152	132	1749,92114257813	174,66716003418						KF_002.jpg		0	nowhere	nowhere	
20	S0802	1	1	4	1286	136	1725,83337402344	186,457946777344						KF_002.jpg		0	nowhere	nowhere	
21	S0802	1	1	5	1424	236	1679,1025390625	190,413436889648						KF_002.jpg		0	nowhere	nowhere	
