SubjectName;TrialID;TrialSequence;CountInTrial;StartTime;Duration;Distance;Velocity;Validity;SubjectCategory;Age;Sex;Handedness;Trial Name;Saccade Target AOI;AOI group
S3001;54;54;8;1744;2;23,40559;11,7028;0;;;;;KF_055.jpg;nowhere;nowhere
S3001;54;54;9;1898;306;209,5833;0,6849127;-1;;;;;KF_055.jpg;lkf55;logo
S3001;54;54;10;2288;28;104,0873;3,717403;0;;;;;KF_055.jpg;nowhere;nowhere
S3001;54;54;11;2772;62;587,1394;9,469991;0;;;;;KF_055.jpg;fkf55;face
S3001;54;54;12;3612;46;37,3937;0,8129064;0;;;;;KF_055.jpg;fkf55;face
S3001;55;55;1;172;26;207,8466;7,994098;0;;;;;KF_056.jpg;fkf56;face
S3001;55;55;2;360;36;725,1005;20,14168;0;;;;;KF_056.jpg;lkf56;logo
S3001;55;55;3;612;78;475,1187;6,091266;0;;;;;KF_056.jpg;nowhere;nowhere
S3001;55;55;4;854;18;268,5637;14,92021;0;;;;;KF_056.jpg;fkf56;face
S3001;55;55;5;1370;2;21,70869;10,85435;0;;;;;KF_056.jpg;fkf56;face
S3001;55;55;6;1494;28;68,27263;2,438308;0;;;;;KF_056.jpg;fkf56;face
S3001;55;55;7;1854;16;251,8798;15,74249;0;;;;;KF_056.jpg;nowhere;nowhere
S3001;55;55;8;1952;2;235,5333;117,7667;0;;;;;KF_056.jpg;nowhere;nowhere
S3001;55;55;9;2238;126;411,7325;3,267718;0;;;;;KF_056.jpg;fkf56;face
