ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	AOI	AOI group
59	S0102	3	3	13	2196	196	504,074737548828	276,966766357422						KF_004.jpg		0	fkf4	nowhere	
60	S0102	3	3	14	2402	234	443,835540771484	213,823699951172						KF_004.jpg		0	fkf4	nowhere	
61	S0102	3	3	15	2670	238	772,623168945313	721,513122558594						KF_004.jpg		0	nowhere	nowhere	
62	S0102	3	3	16	2922	398	885,297668457031	853,493347167969						KF_004.jpg		0	nowhere	nowhere	
63	S0102	3	3	17	3350	228	511,140899658203	879,30615234375						KF_004.jpg		0	nowhere	nowhere	
64	S0102	3	3	18	3580	168	474,933044433594	861,399841308594						KF_004.jpg		0	nowhere	nowhere	
65	S0102	3	3	19	3788	256	1139,533203125	529,11328125						KF_004.jpg		0	nowhere	nowhere	
66	S0102	4	4	1	0	230	961,124938964844	587,836975097656						KF_005.jpg		0	nowhere	nowhere	
67	S0102	4	4	2	252	170	982,248901367188	415,765167236328						KF_005.jpg		0	fkf5	nowhere	
68	S0102	4	4	3	496	114	1025,24133300781	590,389709472656						KF_005.jpg		0	nowhere	nowhere	
69	S0102	4	4	4	648	158	948,515014648438	93,5537643432617						KF_005.jpg		0	fkf5	nowhere	
70	S0102	4	4	5	814	238	1013,74078369141	184,79167175293						KF_005.jpg		0	fkf5	nowhere	
71	S0102	4	4	6	1054	152	1030,22448730469	213,711700439453						KF_005.jpg		0	fkf5	nowhere	
72	S0102	4	4	7	1284	268	819,325134277344	773,433715820313						KF_005.jpg		0	nowhere	nowhere	
73	S0102	4	4	8	1564	146	862,860900878906	803,845947265625						KF_005.jpg		0	nowhere	nowhere	
74	S0102	4	4	9	1924	144	833,762939453125	744,252197265625						KF_005.jpg		0	nowhere	nowhere	
75	S0102	4	4	10	2138	276	1438,67407226563	790,587707519531						KF_005.jpg		0	nowhere	nowhere	
76	S0102	4	4	11	2476	162	1297,99768066406	844,517272949219						KF_005.jpg		0	lkf5	nowhere	
77	S0102	4	4	12	2706	164	1174,69506835938	730,71435546875						KF_005.jpg		0	nowhere	nowhere	
78	S0102	4	4	13	2898	108	996,194519042969	597,132690429688						KF_005.jpg		0	nowhere	nowhere	
79	S0102	4	4	14	3040	222	945,7705078125	282,231262207031						KF_005.jpg		0	fkf5	nowhere	
80	S0102	4	4	15	3290	258	713,034606933594	313,537719726563						KF_005.jpg		0	fkf5	nowhere	
81	S0102	4	4	16	3574	164	970,897277832031	245,990371704102						KF_005.jpg		0	fkf5	nowhere	
82	S0102	4	4	17	3740	204	1004,6552734375	202,833923339844						KF_005.jpg		0	fkf5	nowhere	
83	S0102	5	5	1	0	174	918,757873535156	584,522766113281						KF_006.jpg		0	nowhere	nowhere	
